"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経225（日経平均株価）","東証","株価指数","2018/2/23 15:15","21892.78","156.34","0.72","21736.44","21789.72","21903.39","21741.63","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2018/2/23 15:00","1760.53","14.36","0.82","1746.17","1749.75","1761.02","1747.51","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2018/2/23 15:00","3930","60","1.55","3870","3875","3930","3875","3911.33","22600","0.21","88396","42948","3170","4570","2018/1/10","4460","11.88","2017/1/18","2681","46.59"
"1332","日本水産","東証一部","水産・農林","2018/2/23 15:00","549","14","2.62","535","544","552","543","548.11","2959000","0.95","1621854","171524","435","635","2017/11/2","719","23.64","2017/4/19","510","7.65"
"1333","マルハニチロ","東証一部","水産・農林","2018/2/23 15:00","3215","-10","-0.31","3225","3225","3240","3205","3221.47","213500","0.41","687783","169292","2525","3925","2017/3/21","3580","10.2","2017/7/11","2903","10.75"
"1352","ホウスイ","東証一部","卸売","2018/2/23 15:00","1171","1","0.09","1170","1177","1177","1152","1164.76","2100","0.03","2446","9812","870","1470","2017/6/20","1400","16.36","2018/2/15","1122","4.37"
"1376","カネコ種苗","東証一部","水産・農林","2018/2/23 15:00","1602","13","0.82","1589","1699","1699","1601","1658.18","9900","0.08","16416","18860","1189","1989","2017/12/6","1820","11.98","2017/4/7","1365","17.36"
"1377","サカタのタネ","東証一部","水産・農林","2018/2/23 15:00","3625","10","0.28","3615","3660","3665","3610","3629.59","61600","0.13","223583","175489","2915","4315","2018/1/18","4095","11.48","2017/2/8","3110","16.56"
"1379","ホクト","東証一部","水産・農林","2018/2/23 15:00","2089","28","1.36","2061","2075","2094","2075","2087.73","45000","0.13","93948","69687","1561","2561","2017/3/14","2227","6.2","2017/8/15","1896","10.18"
"1380","秋川牧園","JQS","水産・農林","2018/2/23 13:01","711","-5","-0.7","716","724","724","711","720","200","0","144","2971","566","866","2018/1/17","755","5.83","2017/1/10","560","26.96"
"1381","アクシーズ","JQS","水産・農林","2018/2/23 15:00","4540","-25","-0.55","4565","4620","4620","4500","4552.11","1900","0.03","8649","25503","3865","5270","2018/2/19","5000","9.2","2017/1/18","1900","138.95"
"1382","ホーブ","JQS","水産・農林","2018/2/23 14:53","1002","11","1.11","991","1000","1010","1000","1003.75","1600","0.21","1606","764","841","1141","2018/1/31","1740","42.41","2017/12/26","940","6.6"
"1383","ベルグアース","JQS","水産・農林","2018/2/23 15:00","2397","47","2","2350","2350","2400","2340","2368.48","3300","0.26","7816","3044","1850","2850","2018/1/15","3225","25.67","2017/1/4","942","154.46"
"1384","ホクリヨウ","東証一部","水産・農林","2018/2/23 15:00","1439","27","1.91","1412","1437","1458","1425","1438.63","24000","0.28","34527","12173","1112","1712","2018/1/26","1680","14.35","2017/1/18","720","99.86"
"1400","ルーデン・ホールディングス","JQG","建設","2018/2/23 15:00","515","27","5.53","488","481","515","480","492.15","156900","1.38","77219","5857","408","568","2018/1/19","840","38.69","2017/4/13","146","252.74"
"1401","エムビーエス","東証マザ","建設","2018/2/23 15:00","847","8","0.95","839","842","850","840","843.43","6700","0.09","5651","6162","689","989","2018/1/29","980","13.57","2017/1/4","347","144.09"
"1407","ウエストホールディングス","JQS","建設","2018/2/23 15:00","706","-7","-0.98","713","710","713","700","707.53","98300","0.36","69550","19228","563","863","2017/1/5","885","20.23","2018/2/14","674","4.75"
"1408","サムシングホールディングス","JQG","建設","2018/2/23 15:00","486","-1","-0.21","487","487","489","485","486.74","4600","0.11","2239","2000","407","567","2017/12/5","672","27.68","2017/4/14","435","11.72"
"1413","桧家ホールディングス","東証二部","建設","2018/2/23 15:00","2967","117","4.11","2850","2900","3000","2896","2945.59","52800","0.39","155527","40277","2350","3350","2018/2/23","3000","1.1","2017/4/6","1951","52.08"
